"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"02/29/2024 00:25:42:701 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-initial-vision","initial-population","[step]","gini-index","survival-ratio"
"3","6","100","332","0.3736810760319251","0.96"
"8","6","200","240","0.4265997041382406","0.98"
"6","6","100","296","0.35437939949418273","0.97"
"4","6","100","320","0.43461415385294416","0.98"
"2","6","100","336","0.41790406745349307","0.98"
"5","6","100","300","0.32195752639599307","0.99"
"6","6","100","300","0.3612164387997523","0.97"
"3","6","100","336","0.38581142869295215","0.96"
"4","6","100","324","0.4320940023119197","0.98"
"8","6","200","244","0.4326372492731103","0.98"
"2","6","100","340","0.4310326142754474","0.98"
"5","6","100","304","0.33820334233557364","0.99"
"6","6","100","304","0.36931742358209824","0.97"
"3","6","100","340","0.39689384886764517","0.96"
"4","6","100","328","0.41609802883318514","0.98"
"2","6","100","344","0.4433062578719038","0.97"
"8","6","200","248","0.436281079914177","0.98"
"6","6","100","308","0.36694657731153485","0.97"
"5","6","100","308","0.3472564403193345","0.99"
"4","6","100","332","0.40740354941486595","0.98"
"2","6","100","348","0.4355733617054693","0.97"
"5","6","100","312","0.3533137411810724","0.99"
"6","6","100","312","0.37188441477061124","0.97"
"4","6","100","336","0.3950674196974437","0.98"
"8","6","200","252","0.44351568378547573","0.98"
"2","6","100","352","0.4159296223037427","0.97"
"5","6","100","316","0.3704434419931197","0.99"
"1","6","100","44","0.21580649142292974","1"
"6","6","100","316","0.3702677036832888","0.97"
"4","6","100","340","0.3948659952813828","0.98"
"2","6","100","356","0.40291914282928054","0.97"
"8","6","200","256","0.436949885547461","0.98"
"5","6","100","320","0.36990904718177436","0.99"
"6","6","100","320","0.43509869325043565","0.97"
"4","6","100","344","0.3895128294562984","0.98"
"7","6","200","208","0.29622377959379187","0.985"
"2","6","100","360","0.42108281153216354","0.97"
"5","6","100","324","0.40103503963273684","0.99"
"6","6","100","324","0.44520971279735727","0.97"
"8","6","200","260","0.4344146938775506","0.98"
"4","6","100","348","0.37039076384185","0.98"
"2","6","100","364","0.39397776449151595","0.96"
"7","6","200","212","0.2941700599527601","0.985"
"5","6","100","328","0.40516652410847326","0.99"
"6","6","100","328","0.4538791186577726","0.97"
"4","6","100","352","0.36996996156435574","0.98"
"8","6","200","264","0.4084772477751634","0.98"
"2","6","100","368","0.37687185055977385","0.96"
"7","6","200","216","0.29237379062219326","0.985"
"5","6","100","332","0.39510677882985007","0.99"
"6","6","100","332","0.45895437278418105","0.97"
"4","6","100","356","0.36517668929092634","0.98"
"2","6","100","372","0.3531840380413829","0.96"
"8","6","200","268","0.3791834637433903","0.98"
"5","6","100","336","0.3993921405496967","0.99"
"6","6","100","336","0.4541015794949398","0.97"
"3","6","100","344","0.40852125605482265","0.96"
"7","6","200","220","0.30025666475992685","0.985"
"4","6","100","360","0.3342060392562914","0.97"
"2","6","100","376","0.3466145501634614","0.96"
"5","6","100","340","0.41050619812481554","0.99"
"3","6","100","348","0.3995708656158161","0.96"
"8","6","200","272","0.3630249397056119","0.98"
"6","6","100","340","0.4364781758521612","0.97"
"4","6","100","364","0.32120662438456293","0.97"
"2","6","100","380","0.3527763135475903","0.96"
"7","6","200","224","0.32650545716510604","0.985"
"3","6","100","352","0.39786866166521556","0.96"
"5","6","100","344","0.41992069649168146","0.99"
"8","6","200","276","0.3539543696291276","0.98"
"6","6","100","344","0.4047609383878564","0.97"
"4","6","100","368","0.335983425072344","0.97"
"2","6","100","384","0.3436950767318241","0.96"
"3","6","100","356","0.39379359948458187","0.96"
